id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
70,O/L Completed,Marketing & Digital Media Interest,BSc Digital Marketing,Marketing,Marketing Assistant,Digital Marketing Executive,Marketing Director,SEO/SEM|Social Media Ads|Content Creation,Communication|Adaptability|Empathy,Digital Strategy|Consumer Behavior|Brand Management,Google Digital Garage|Meta Blueprint,High,High,115000,145000-320000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
71,A/L Completed,Technology Stream - ET/BST focus,BSc Hospitality Management,Tourism,Tour Guide,Tour Operations Manager,General Manager (Hotel),Property Management Systems|Event Planning|Languages,Interpersonal Skills|Problem Solving|Cultural Awareness,HR in Hospitality|Hospitality Operations|Food & Beverage Management,IATA Certification|Food Safety Certification,High,Medium,95000,125000-240000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
72,A/L Completed,Physical Science Stream - Physics focus,BSc Computer Science,Software Engineering,Junior Software Developer,Backend Engineer,Tech Lead,Problem Solving|Algorithms|Programming,Communication|Time Management|Critical Thinking,Software Patterns|Databases|Operating Systems,Scrum Master|Azure Fundamentals,Very High,Very High,100000,130000-620000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
73,A/L Completed,Physical Science Stream - Chemistry/IT focus,BSc Agriculture,Agriculture & Agri-Business,Field Officer,Agronomist,Senior Agronomist,Pest Control|Crop Management|Soil Science,Physical Endurance|Adaptability|Team Management,Soil Science|Agricultural Economics|Crop Science,GAP Certification|Pesticide Application License,Medium,Low,85000,115000-380000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
74,Diploma Holder,Background in Data Analysis & AI,BSc Data Science,Data Science,Junior Data Scientist,Data Scientist,Chief Data Officer,Python|Statistics|Data Viz,Business Acumen|Analytical Thinking|Presentation,Deep Learning|Linear Algebra|Big Data,AWS Machine Learning|IBM Data Science,High,Very High,175000,205000-440000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
75,Career Switcher,Psychology & Counseling Interest,BA/BSc Psychology,Psychology,Counseling Trainee,Clinical Psychologist,Director of Mental Health Services,Research Methodology|Therapy Techniques (CBT)|Psychological Assessment,Empathy|Active Listening|Confidentiality,Abnormal Psychology|Counseling|Cognitive Psychology,Mental Health First Aid|Counseling Diploma,Medium,High,60000,90000-480000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
76,Undergraduate,Background in Business Management,BBA Business Management,Business Operations,Business Coordinator,Business Analyst,Chief Operating Officer,Budgeting|Project Management|Strategic Planning,Problem Solving|Decision Making|Leadership,Organizational Behavior|Strategic Management|Marketing,Agile PM|PMP,Medium,High,105000,135000-750000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
77,A/L Completed,Commerce Stream - Business focus,BSc Digital Marketing,Marketing,Social Media Coordinator,Digital Marketing Executive,Marketing Director,SEO/SEM|Content Creation|Google Analytics,Empathy|Adaptability|Communication,Brand Management|Market Research|Consumer Behavior,HubSpot Inbound Marketing|Google Digital Garage,High,High,65000,95000-530000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
78,O/L Completed,Accounting & Finance Interest,BSc Accounting and Finance,Finance,Audit Trainee,Tax Executive,Senior Auditor,Financial Reporting|ERP Systems|Excel,Integrity|Analytical Thinking|Attention to Detail,Auditing|Management Accounting|Economics,ACCA|CA Sri Lanka,High,High,115000,145000-600000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
79,Undergraduate,Background in Mechanical Systems,BSc Mechanical Engineering,Mechanical Engineering,Junior Mechanical Engineer,Maintenance Engineer,Engineering Director,Thermodynamics|Quality Control|Robotics,Innovation|Analytical Thinking|Attention to Detail,Machine Design|Control Systems|Thermodynamics,SolidWorks Certification|Six Sigma,Medium,High,80000,110000-670000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
80,Career Switcher,Law & Justice Interest,LLB Law,Legal Services,Apprentice,Attorney-at-Law,Senior Counsel,Compliance|Litigation|Drafting Contracts,Argumentation|Analytical Thinking|Negotiation,Corporate Law|Contract Law|Constitutional Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,80000,110000-290000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
81,A/L Pending,Technology Stream - ET/BST focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,Junior Systems Administrator,Systems Administrator,IT Infrastructure Manager,Linux/Windows Server|Routing & Switching|Cloud Computing (AWS/Azure),Troubleshooting|Customer Service|Reliability,System Administration|Computer Networks|Operating Systems,CCNP|CompTIA Network+,High,High,130000,160000-370000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
82,A/L Pending,Arts Stream - Logic/Media focus,BSc Accounting and Finance,Finance,Junior Accountant,Accountant,Finance Manager,ERP Systems|Excel|Financial Reporting,Attention to Detail|Analytical Thinking|Ethics,Management Accounting|Economics|Auditing,CIMA|CA Sri Lanka,High,High,65000,95000-410000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
83,A/L Completed,Commerce Stream - Accounting focus,BA/BSc Psychology,Psychology,Counseling Trainee,Organizational Psychologist,Director of Mental Health Services,Research Methodology|Psychological Assessment|Therapy Techniques (CBT),Empathy|Patience|Confidentiality,Developmental Psychology|Counseling|Abnormal Psychology,Counseling Diploma|Mental Health First Aid,Medium,High,85000,115000-300000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
84,O/L Completed,Logistics & Supply Chain Interest,BSc Supply Chain Management,Logistics,Warehouse Assistant,Logistics Analyst,Chief Supply Chain Officer,Data Analysis|Freight Forwarding|ERP Software (SAP/Oracle),Negotiation|Leadership|Time Management,Global Supply Chain|Procurement|Inventory Control,CIPS|CSCP,High,High,115000,145000-540000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
85,Career Switcher,Marketing & Digital Media Interest,BSc Digital Marketing,Marketing,Marketing Assistant,Digital Marketing Executive,Head of Digital,Social Media Ads|Google Analytics|SEO/SEM,Empathy|Creativity|Adaptability,Digital Strategy|Market Research|Brand Management,Meta Blueprint|HubSpot Inbound Marketing,High,High,65000,95000-320000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
86,O/L Completed,Construction & Structures Interest,BSc Civil Engineering,Civil Engineering,Structural Trainee,Project Engineer,Senior Civil Engineer,Surveying|Structural Analysis|AutoCAD,Risk Management|Teamwork|Leadership,Fluid Mechanics|Materials Science|Structural Design,AutoCAD Certification|Chartered Engineer (CEng),Medium,Medium,95000,125000-640000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
87,Diploma Holder,Background in Law & Justice,LLB Law,Legal Services,Legal Assistant,Attorney-at-Law,Judge,Compliance|Drafting Contracts|Legal Research,Negotiation|Argumentation|Public Speaking,Constitutional Law|Corporate Law|Criminal Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,50000,80000-800000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
88,A/L Completed,Technology Stream - ET/BST focus,BSc Mechanical Engineering,Mechanical Engineering,Maintenance Engineer Trainee,Production Engineer,Engineering Director,Robotics|Thermodynamics|CAD/CAM,Attention to Detail|Innovation|Analytical Thinking,Fluid Mechanics|Control Systems|Thermodynamics,Chartered Engineer (CEng)|SolidWorks Certification,Medium,High,90000,120000-520000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
89,O/L Completed,Healthcare Caregiving Interest,BSc Nursing,Healthcare - Nursing,Student Nurse,Staff Nurse,Matron,Patient Care|Infection Control|Vital Signs Monitoring,Communication|Patience|Empathy,Psychology|Nursing Foundations|Medical-Surgical Nursing,BLS|Specialized Nursing Certifications,High,Very High,65000,95000-180000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
90,Career Switcher,Architecture & Built Environment Interest,BArch Architecture,Architecture,Design Intern,Project Architect,Design Director,AutoCAD|SketchUp|Revit,Visualization|Communication|Creativity,Structural Design|Building Materials|History of Architecture,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,115000,145000-490000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
91,A/L Pending,Arts Stream - Languages focus,BSc Data Science,Data Science,Junior Data Scientist,Machine Learning Engineer,Chief Data Officer,Data Viz|Python|SQL,Analytical Thinking|Presentation|Curiosity,Big Data|Probability|Deep Learning,Google Data Analytics|IBM Data Science,High,Very High,190000,220000-820000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
92,Graduate,Background in Data Analysis & AI,BSc Data Science,Data Science,BI Analyst,Data Scientist,Senior Data Scientist,Python|Data Viz|SQL,Curiosity|Business Acumen|Analytical Thinking,Linear Algebra|Deep Learning|Probability,AWS Machine Learning|IBM Data Science,High,Very High,160000,190000-810000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
93,Diploma Holder,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,Assistant Psychologist,Clinical Psychologist,Director of Mental Health Services,Psychological Assessment|Therapy Techniques (CBT)|Research Methodology,Empathy|Confidentiality|Patience,Abnormal Psychology|Developmental Psychology|Cognitive Psychology,Clinical Psychology Masters|Mental Health First Aid,Medium,High,95000,125000-200000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
94,Graduate,Background in Law & Justice,LLB Law,Legal Services,Apprentice,Corporate Counsel,Judge,Compliance|Legal Research|Drafting Contracts,Public Speaking|Negotiation|Analytical Thinking,Criminal Law|Corporate Law|Constitutional Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,55000,85000-700000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
95,Diploma Holder,Background in Architecture & Built Environment,BArch Architecture,Architecture,Architect Assistant,Architect,Senior Architect,Building Codes|SketchUp|3D Rendering,Communication|Visualization|Attention to Detail,Building Materials|History of Architecture|Structural Design,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,60000,90000-280000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
96,Undergraduate,Background in Healthcare Caregiving,BSc Nursing,Healthcare - Nursing,Student Nurse,Staff Nurse,Matron,First Aid|Vital Signs Monitoring|Patient Care,Communication|Resilience|Patience,Pharmacology|Nursing Foundations|Medical-Surgical Nursing,Specialized Nursing Certifications|ACLS,High,Very High,90000,120000-160000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
97,Undergraduate,Background in IT / Programming,BSc Computer Science,Software Engineering,Associate Software Engineer,Software Engineer,Senior Developer,Problem Solving|Git|Programming,Communication|Time Management|Teamwork,Databases|Math for CS|Software Patterns,Azure Fundamentals|Scrum Master,Very High,Very High,175000,205000-650000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
98,O/L Completed,Architecture & Built Environment Interest,BArch Architecture,Architecture,Architect Assistant,Project Architect,Design Director,3D Rendering|Revit|AutoCAD,Communication|Visualization|Creativity,Architectural Design|History of Architecture|Building Materials,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,80000,110000-570000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
99,Undergraduate,Background in Human Resource Management,BSc Human Resource Management,Human Resources,Payroll Clerk,Employee Relations Manager,VP of People,"Labor Law Knowledge|Recruitment|HRIS (Workday, BambooHR)",Empathy|Negotiation|Conflict Resolution,Organizational Behavior|Compensation|Labor Law,CIPM|PHR,Medium,Medium,105000,135000-500000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
